nct_id,drug_name
NCT04433221,sarcoma vaccines - Shenzhen Geno-Immune Medical Institute
NCT06540937,Leflunomide
NCT04329949,Relacorilant
NCT04329949,Nab-paclitaxel
NCT04427774,Surufatinib
NCT04427774,Sintilimab
NCT04992988,Toripalimab
NCT04314089,GT-103
NCT04400383,AB 011
NCT04400383,Moxifloxacin
NCT04400383,Nab-paclitaxel
NCT04383977,Rivoceranib
NCT04383977,Etoposide
NCT04334174,Brentuximab vedotin
NCT04275713,Metformin
NCT04275713,Cisplatin
NCT04426669,Cyclophosphamide
NCT04426669,Mesna
NCT04426669,Fludarabine
NCT04426669,Tumor Infiltrating Lymphocyte
NCT04426669,Aldesleukin
NCT04272957,HMPL-306
NCT04186845,18F-rhPSMA 7.3 PET/CT Scan
NCT04353102,YH 002
NCT04279561,Computed Tomography
NCT04279561,Gallium Ga-68 gozetotide
NCT04279561,Positron Emission Tomography
NCT04134884,Talazoparib
NCT04134884,Cedazuridine/decitabine
NCT04102020,Venetoclax
NCT04102020,Azacitidine
NCT03996473,Radium 223 chloride
NCT03996473,Pembrolizumab
NCT04319263,BCG vaccine
NCT05999994,Ramucirumab
NCT05999994,Cyclophosphamide
NCT05999994,Vinorelbine
NCT05999994,Gemcitabine
NCT05999994,Docetaxel
NCT05999994,Abemaciclib
NCT05999994,Irinotecan
NCT05999994,Temozolomide
NCT04192253,Paclitaxel
NCT04192253,Carboplatin
NCT04187456,Savolitinib
NCT04187456,Midazolam
NCT04132050,fostamatinib disodium
NCT04132050,Placebo Control
