nct_id,indication
NCT06352866,Immune Effector Cell Associated Neurotoxicity Syndrome
NCT06744894,Multiple Myeloma
NCT06772428,Head and Neck Squamous Cell Carcinoma
NCT06772428,Underwent Surgery Within 6 Weeks and Postoperative Assessment Indicated High-risk Factors
NCT06720324,Hematology
NCT06735131,Triple-Negative Breast Cancer
NCT06730932,Clear Cell Renal Cell Carcinoma
NCT06667908,Non-Small Cell Lung Cancer
NCT06700395,Multiple Myeloma
NCT06749886,Thoracic Neoplasm
NCT06171685,Multiple Myeloma
NCT06171685,Multiple Myeloma
NCT06682611,Solid Tumors
NCT06647563,Head and Neck Squamous Cell Carcinoma
NCT06673693,Head and Neck Squamous Cell Carcinoma
NCT06673693,Head and Neck Squamous Cell Carcinoma
NCT06217536,Soft Tissue Sarcoma
NCT06613152,Solid Tumors
NCT06490536,Colon Carcinoma
NCT06490536,Colon Carcinoma
NCT06253637,T-cell acute lymphoblastic leukemia
NCT06578286,Breast Cancer
NCT06519370,Triple-Negative Breast Cancer
NCT06261814,Liver Cancer
NCT06416410,Lung Non-Squamous Non-Small Cell Carcinoma
NCT06416410,Lung Non-Squamous Non-Small Cell Carcinoma
NCT06549595,Follicular Lymphoma
NCT06509568,Esophageal Cancer
NCT06080165,PTEN Gene Mutation
NCT06080165,PTEN Hamartoma Tumor Syndrome
NCT06080165,PTEN Hamartoma Syndrome
NCT06525948,Aplastic Anemia
NCT06525948,Transfusion-dependent Anemia
NCT06444412,WHO Grade 3 Glioma
NCT06444412,WHO Grade 4 Glioma
NCT06562920,Small Cell Lung Cancer
NCT06260033,Breast Cancer
NCT06260033,Hormone Receptor-Positive Breast Cancer
NCT06260033,Breast Cancer
NCT05901194,Hepatocellular Carcinoma
NCT06734182,Non-Small Cell Lung Cancer
NCT06422156,Pancreatic Cancer
NCT06881537,Epithelial Neoplasm
NCT06332430,Solid Tumors
NCT06332430,Hematology
NCT06402383,Cervical Cancer
NCT06408194,Leukemia
NCT06408194,Acute Lymphoblastic Leukemia
NCT06428682,Breast Cancer
NCT06428682,"Blood Loss, Surgical"
NCT06300320,Chronic Graft Versus Host Disease
